,,CZTS,,,,,,,,,,,
Photon Energy (eV),Wavelength (nm) - Plot 0,Voltage (V) - Plot 0,Normalised PL,,,,,,,,,,
1.230170934,1007.99,0.001406,0.114537445,,,,,,,,,,
1.228939544,1009,0.001411,0.136563877,,,,,,,,,,
1.227710617,1010.01,0.00143,0.220264317,,,,,,,,,,
1.226520539,1010.99,0.001414,0.149779736,,,,,,,,,,
1.225296443,1012,0.001405,0.110132159,,,,,,,,,,
1.224074787,1013.01,0.001402,0.0969163,,,,,,,,,,
1.222891744,1013.99,0.001416,0.158590308,,,,,,,,,,
1.221674877,1015,0.001404,0.105726872,,,,,,,,,,
1.220460429,1016.01,0.001392,0.052863436,,,,,,,,,,
1.219284359,1016.99,0.001407,0.118942731,,,,,,,,,,
1.218086622,1017.99,0.001407,0.118942731,,,,,,,,,,
1.216879293,1019,0.00142,0.176211454,,,,,,,,,,
1.215674356,1020.01,0.001406,0.114537445,,,,,,,,,,
1.214483698,1021.01,0.001407,0.118942731,,,,,,,,,,
1.213319113,1021.99,0.001416,0.158590308,,,,,,,,,,
1.212133061,1022.99,0.001428,0.211453744,,,,,,,,,,
1.210949326,1023.99,0.001426,0.202643172,,,,,,,,,,
1.209756098,1025,0.001411,0.136563877,,,,,,,,,,
1.208576998,1026,0.001418,0.167400881,,,,,,,,,,
1.207400195,1027,0.001429,0.215859031,,,,,,,,,,
1.206225681,1028,0.00139,0.044052863,,,,,,,,,,
1.20505345,1029,0.001403,0.101321586,,,,,,,,,,
1.203883495,1030,0.00143,0.220264317,,,,,,,,,,
1.20271581,1031,0.001444,0.281938326,,,,,,,,,,
1.201550388,1032,0.001399,0.083700441,,,,,,,,,,
1.200387222,1033,0.001412,0.140969163,,,,,,,,,,
1.199226306,1034,0.00139,0.044052863,,,,,,,,,,
1.198079208,1034.99,0.001403,0.101321586,,,,,,,,,,
1.19692275,1035.99,0.001404,0.105726872,,,,,,,,,,
1.195768522,1036.99,0.001392,0.052863436,,,,,,,,,,
1.194593501,1038.01,0.001409,0.127753304,,,,,,,,,,
1.193443759,1039.01,0.001387,0.030837004,,,,,,,,,,
1.192307692,1040,0.001432,0.22907489,,,,,,,,,,
1.191173786,1040.99,0.001433,0.233480176,,,,,,,,,,
1.190030614,1041.99,0.001386,0.026431718,,,,,,,,,,
1.188866837,1043.01,0.00142,0.176211454,,,,,,,,,,
1.187739464,1044,0.001408,0.123348018,,,,,,,,,,
1.186614226,1044.99,0.001418,0.167400881,,,,,,,,,,
1.185457118,1046.01,0.001412,0.140969163,,,,,,,,,,
1.184336199,1047,0.001396,0.070484581,,,,,,,,,,
1.183217397,1047.99,0.001415,0.154185022,,,,,,,,,,
1.182066901,1049.01,0.001417,0.162995595,,,,,,,,,,
1.180963628,1049.99,0.001422,0.185022026,,,,,,,,,,
1.179817509,1051.01,0.001394,0.061674009,,,,,,,,,,
1.178707224,1052,0.001383,0.013215859,,,,,,,,,,
1.177576661,1053.01,0.00141,0.13215859,,,,,,,,,,
1.176470588,1054,0.00142,0.176211454,,,,,,,,,,
1.17534431,1055.01,0.00142,0.176211454,,,,,,,,,,
1.174242424,1056,0.001405,0.110132159,,,,,,,,,,
